MiliSec,Iteration,#Alive,#Dead,#Steady,#Served,Avg#Steps,Avg#Steady,Avg#Stands_in_Focus,Avg#Stands_Visited,Avg#Queue_Deflected,Avg#Time_focused_in_Stand,Avg#Time_in_Stand,Avg#CloseContacts,Avg#DirectContacts
1615942580045,i0005_j0010,313,5779,8742,1185,219.14707813525936,28.889363099146422,0.2030531845042679,0.2025607353906763,0.0004924491135915955,1.572299346527842,22.759329174874154,429.5581089954038,0.05088640840446487
1615942671654,i0005_j0020,331,5761,8515,1345,219.0517071569271,31.55531845042679,0.23161523309258045,0.2304661851608667,0.001149047931713723,1.6970980025847062,23.550175093018165,424.3908404464872,0.0587655942219304
1615942761279,i0005_j0030,326,5766,7108,1230,214.64445173998686,27.68187787261983,0.21158896913985556,0.2102757715036113,0.0013131976362442547,1.664797249059396,20.927164040271393,420.3811556139199,0.05712409717662508
1615942849061,i0005_j0040,319,5773,6853,1208,213.20863427445832,28.39740643466842,0.20814182534471437,0.20748522652659226,0.0006565988181221273,1.5645307663446208,21.787795469468154,417.4519041365726,0.055318450426789234
1615942934875,i0005_j0050,323,5769,7177,1147,211.3650689428759,30.499015101772816,0.2004267892317794,0.20026263952724885,0.00016414970453053183,1.533311576983606,23.799313307069383,408.2501641497045,0.060899540380827316
1615943022605,i0005_j0060,326,5766,8986,1332,212.25016414970452,29.959455022980958,0.23161523309258045,0.2304661851608667,0.001149047931713723,1.759634219741737,22.283415408185597,408.85899540380825,0.05679579776756402
1615943110983,i0005_j0070,348,5744,9861,1150,220.42843072882468,38.794648719632306,0.20370978332239,0.20157583716349312,0.002133946158896914,1.5250240362067349,29.823011052746775,442.4681549573211,0.055646749835850294
1615943202424,i0010_j0010,403,5689,7991,1508,236.42252133946158,47.150032829940905,0.2692055154300722,0.2659225213394616,0.003282994090610637,1.6228217362450779,35.051953381483905,490.85932370321734,0.05466185160866711
1615943291749,i0010_j0020,379,5713,7198,1490,235.88263296126067,48.97291529875246,0.2664149704530532,0.2637885751805647,0.0026263952724885093,1.5058137633687527,35.49054771284744,491.60932370321734,0.05318450426789232
1615943381114,i0010_j0030,386,5706,6655,1161,237.5425147734734,51.958798424162836,0.21421536441234407,0.21224556795797767,0.001969796454366382,1.3630436955617515,39.94986594440796,505.67005909389366,0.05548260013131976
1615943474223,i0010_j0040,362,5730,6425,1324,231.3941234405778,49.76362442547603,0.23900196979645436,0.2355548260013132,0.003447143795141169,1.5025585029073212,37.76532611074634,481.98243598161525,0.05663164806303349
1615943566759,i0010_j0050,374,5718,7341,1396,232.91956664478005,51.086014445174,0.252462245567958,0.24885095206828628,0.0036112934996717005,1.4826370048751862,38.102008098052096,488.2956336178595,0.051378857518056466
1615943658291,i0010_j0060,361,5731,8732,1597,223.26132632961261,46.1424819435325,0.28529218647406435,0.27790544977019044,0.007386736703873933,1.6835878132045237,33.45750711315386,453.9995075508864,0.051378857518056466
1615943754854,i0010_j0070,367,5725,9684,1506,237.49130006565989,53.83798424162836,0.27872619829284306,0.2664149704530532,0.012311227839789888,1.6086583988743528,38.70840811264319,512.1137557452397,0.05400525279054498
1615943856226,i0015_j0010,397,5695,9255,1700,241.40955351280368,53.40988181221274,0.3063033486539724,0.3018713066316481,0.00443204202232436,1.5180546187948936,38.14276646968701,512.3450426789232,0.0587655942219304
1615943953909,i0015_j0020,397,5695,6273,1375,239.70091923834536,55.065495732107685,0.25476034143138543,0.24885095206828628,0.005909389363099146,1.3829934701979985,41.346076822061725,511.76001313197634,0.05400525279054498
1615944044745,i0015_j0030,381,5711,7126,1532,238.59110308601444,54.66907419566645,0.2829940906106369,0.2757715036112935,0.007222586999343401,1.4225374824890595,39.91390152581059,508.7547603414314,0.0587655942219304
1615944134772,i0015_j0040,384,5708,6633,1634,241.33141825344714,55.11523309258043,0.2972751149047932,0.2879185817465529,0.009356533158240315,1.5237475060987564,39.58222258699935,523.2250492449114,0.056139198949441894
1615944225815,i0015_j0050,402,5690,7015,1391,241.10784635587655,57.03660538411031,0.26329612606697306,0.25180564674983585,0.01149047931713723,1.3777892927878221,42.02176351499233,525.5126395272489,0.05433355219960604
1615944321833,i0015_j0060,409,5683,9471,1580,245.4579776756402,57.58716349310571,0.3082731451083388,0.28447143795141167,0.02380170715692712,1.5897760266546723,41.093889462110084,536.5855219960604,0.05630334865397242
1615944416206,i0015_j0070,402,5690,9190,1477,240.95518713066318,59.93499671700591,0.30236375574523966,0.26723571897570586,0.03512803676953381,1.5172884094092216,42.97331499025524,529.9230137885752,0.05039395929087328
1615944512104,i0020_j0010,377,5715,8778,1641,241.60390676296782,56.56779382797111,0.29990151017728167,0.29152987524622453,0.008371634931057125,1.3406138546585367,39.6892802426289,517.9102101116218,0.05367695338148391
1615944605220,i0020_j0020,384,5708,7288,1487,241.38427445830598,58.04612606697308,0.278397898883782,0.2719960604070913,0.0064018384766907415,1.3111254430292774,40.49619368101805,520.4727511490479,0.05778069599474721
1615944699767,i0020_j0030,394,5698,7266,1651,242.45288903479974,58.24507550886408,0.30334865397242283,0.2939921208141825,0.009356533158240315,1.3659239840835513,40.542752790544974,530.9315495732108,0.05548260013131976
1615944793763,i0020_j0040,411,5681,7241,1698,238.91283650689428,56.56779382797111,0.3200919238345371,0.30433355219960606,0.015758371634931056,1.5019200464369427,39.575419167995506,509.1349310571241,0.054826001313197634
1615944892534,i0020_j0050,403,5689,7765,1647,240.8113919894944,58.87885751805647,0.3148391332895601,0.29300722258699935,0.021831910702560735,1.4753690418886576,41.73419257887001,526.5650032829941,0.05548260013131976
1615944988746,i0020_j0060,422,5670,8425,1623,240.35833880499015,59.82321076822062,0.325016414970453,0.2890676296782666,0.03594878529218647,1.5044338602372522,41.98372768345684,531.0937294812869,0.058929743926460935
1615945088193,i0020_j0070,393,5699,11219,1753,242.45600787918582,61.088312541037425,0.38591595535128037,0.31221273801707156,0.0737032173342088,1.675546587328904,41.57341165619236,533.706664478004,0.054497701904136574
1615945188381,i0025_j0010,398,5694,10079,1606,246.8617859487853,58.55892974392646,0.30400525279054497,0.2902166776099803,0.013788575180564675,1.3493373018818575,40.71549280086296,542.2785620485884,0.05433355219960604
1615945287413,i0025_j0020,408,5684,8600,1554,247.51575837163494,60.02084701247538,0.29218647406434667,0.27971109652002624,0.01247537754432042,1.2753732458135785,43.357236266141385,542.4658568614576,0.05367695338148391
1615945383662,i0025_j0030,393,5699,6749,1512,247.3258371634931,60.43614576493762,0.28775443204202233,0.27265265922521337,0.015101772816808929,1.3263088468473092,43.44133289560079,547.7739658568614,0.058437294812869335
1615945486554,i0025_j0040,402,5690,7101,1694,247.54070912672358,60.95748522652659,0.33502954694681547,0.30531845042678923,0.029711096520026264,1.4809567074611982,42.42238650220429,552.5387393302692,0.058108995403808275
