MiliSec,Iteration,#Alive,#Dead,#Steady,#Served,Avg#Steps,Avg#Steady,Avg#Stands_in_Focus,Avg#Stands_Visited,Avg#Queue_Deflected,Avg#Time_focused_in_Stand,Avg#Time_in_Stand,Avg#CloseContacts,Avg#DirectContacts
1616021391611,i0005_j0010,232,5860,4813,800,164.1698949441891,27.68827971109652,0.14084044648719632,0.13903479973736046,0.0018056467498358503,1.0149770972078913,23.371197198511712,349.1081746552856,0.056467498358502954
1616021460655,i0005_j0020,224,5868,3480,808,163.6671043992121,27.594714379514116,0.14543663821405123,0.14313854235062376,0.002298095863427446,1.0350251115886369,23.431057124097176,351.48358502954693,0.049409061063690085
1616021524861,i0005_j0030,221,5871,3533,912,164.22340774786605,27.714707813525937,0.16217990807616547,0.15938936309914642,0.0027905449770190415,1.111479145170872,23.263118297220398,355.00935653315827,0.05695994747209455
1616021586066,i0005_j0040,208,5884,3307,943,161.862934996717,27.835850295469466,0.16874589625738673,0.16562705187130664,0.003118844386080105,1.1038315276865833,23.138513038176534,344.7838148391333,0.05351280367695338
1616021649944,i0005_j0050,226,5866,2490,812,165.94435325016414,28.548424162836508,0.14609323703217333,0.1413328956007879,0.0047603414313854234,1.0153634352624834,24.43532501641497,361.65676296782664,0.05663164806303349
1616021711782,i0005_j0060,231,5861,2141,899,158.36588969139856,27.369500984898227,0.16464215364412343,0.15741956664478005,0.007222586999343401,1.131677766313354,23.113126504705622,334.23194353250165,0.05351280367695338
1616021779818,i0005_j0070,223,5869,2359,886,160.51034143138543,28.593729481286935,0.16710439921208142,0.15446487196323047,0.012639527248850951,1.1034125551074008,23.910363318012696,346.0170715692712,0.051543007222587
1616021845899,i0010_j0010,241,5851,3002,688,164.83371634931058,31.32485226526592,0.12918581746552857,0.1252462245567958,0.003939592908732764,0.9235960314854756,26.358270409279932,361.7854563361786,0.05466185160866711
1616021914978,i0010_j0020,230,5862,3082,798,166.8806631648063,31.36112934996717,0.1490479317137229,0.14395929087327644,0.005088640840446487,0.9462412997644827,27.012907638432917,367.9021667760998,0.053348653972422846
1616021982987,i0010_j0030,222,5870,3978,820,165.33847669074197,32.00229809586343,0.15085357846355876,0.14527248850952068,0.005581089954038083,0.9868355845292817,26.130233639746116,360.90019697964544,0.060078791858174656
1616022047639,i0010_j0040,231,5861,2412,913,163.79957321076822,31.179908076165464,0.16956664478003938,0.16152330925804334,0.00804333552199606,1.038333569017252,25.41473790763843,361.13788575180564,0.05088640840446487
1616022113448,i0010_j0050,252,5840,3669,787,167.6408404464872,33.30827314510834,0.15380827314510834,0.14051214707813525,0.01329612606697308,0.9529704582642867,27.391921098708686,374.58732764281024,0.048588312541037425
1616022183656,i0010_j0060,221,5871,1999,893,165.8397898883782,32.8145108338805,0.18171372291529875,0.15938936309914642,0.02232435981615233,1.1070458003731147,26.983169183628803,371.37934996717007,0.05285620485883125
1616022258965,i0010_j0070,244,5848,1979,703,169.06992777413,34.03956007879186,0.16447800393959291,0.12951411687458964,0.03496388706500328,1.0644957868242506,28.599067082512583,388.2621470781353,0.05252790544977019
1616022335557,i0015_j0010,250,5842,3419,740,170.7015758371635,32.85177281680893,0.14182534471437952,0.13263296126066973,0.009192383453709783,0.9072778389356344,27.24180619391552,379.5791201575837,0.05466185160866711
1616022412625,i0015_j0020,248,5844,4409,919,169.41808929743925,32.21585686145765,0.17875902823374917,0.16776099803020356,0.010998030203545634,1.038285583768086,25.595433902385643,376.12147078135257,0.06221273801707157
1616022484809,i0015_j0030,252,5840,2714,788,166.85144451739987,33.282829940906105,0.15430072225869992,0.14264609323703217,0.011654629021667761,0.9728789992542353,27.160617750054715,374.0167432698621,0.05203545633617859
1616022556555,i0015_j0040,249,5843,2658,998,168.58371634931058,33.1112934996717,0.19566644780039397,0.177774130006566,0.01789231779382797,1.059635333040895,26.326835740862336,380.5306959947472,0.050558108995403805
1616022634121,i0015_j0050,240,5852,4263,923,170.93729481286934,34.45354563361786,0.19304005252790546,0.16464215364412343,0.02839789888378201,1.0763059435457658,27.07482217115343,388.54645436638214,0.05679579776756402
1616022709099,i0015_j0060,235,5857,2603,967,168.90692711753118,34.301543007222584,0.21585686145764937,0.17022324359816152,0.04563361785948785,1.1682251942265074,26.911878576118557,384.81106369008535,0.04875246224556796
1616022779933,i0015_j0070,243,5849,2197,804,169.12278397898885,34.93532501641497,0.20288903479973736,0.14576493762311227,0.05712409717662508,1.1660389243243805,28.494506456555044,392.75869993434014,0.045469468154957324
1616022849936,i0020_j0010,223,5869,3099,853,168.84307288246882,32.976362442547604,0.16365725541694026,0.1500328299409061,0.013624425476034143,0.9406126222290778,26.437664149704535,380.16217990807615,0.05351280367695338
1616022924009,i0020_j0020,247,5845,3398,771,170.09914642153643,33.84931057124097,0.14757058437294812,0.1360801050558109,0.01149047931713723,0.9035983335234263,28.09130827314511,386.24162836506895,0.05466185160866711
1616022999475,i0020_j0030,252,5840,2313,839,168.46602101116218,34.049737360472754,0.16694024950755088,0.15183847669074196,0.015101772816808929,0.9293440688845367,26.918294484569927,384.4259684832567,0.05252790544977019
1616023074702,i0020_j0040,245,5847,2218,763,167.27347340774787,34.38246881155614,0.1592252133946159,0.1380499015101773,0.021175311884438608,0.9325788714823502,28.175073867367043,378.37147078135257,0.05236375574523966
1616023150957,i0020_j0050,235,5857,1621,689,169.8123768877216,35.27757715036113,0.15692711753118843,0.1252462245567958,0.031680892974392645,0.9253127225878371,29.23731259575399,389.81648063033487,0.04760341431385424
1616023233124,i0020_j0060,232,5860,1724,726,171.4118516086671,35.382304661851606,0.17038739330269206,0.12688772160210113,0.043499671700590936,1.0285663878326385,29.757277303567516,397.13082731451084,0.059258043335521995
1616023314267,i0020_j0070,248,5844,2352,826,170.70256073539068,35.4161195009849,0.23424162836506895,0.15282337491792514,0.08141825344714379,1.235079212299337,27.82557999562267,393.384602757715,0.05384110308601445
1616023395120,i0025_j0010,248,5844,3908,668,170.6730137885752,34.08289560078792,0.1346027577150361,0.12245567957977675,0.012147078135259356,0.8870346367630013,29.05778069599475,387.4162836506894,0.05942219304005253
1616023476033,i0025_j0020,250,5842,3392,745,174.36917268548916,34.79596191726855,0.14806303348653974,0.13591595535128037,0.012147078135259356,0.8676474533330886,28.15623886127005,401.4883453709783,0.05794484569927774
1616023556132,i0025_j0030,263,5829,2923,782,172.63788575180564,35.1247537754432,0.15873276428102429,0.139198949441891,0.01953381483913329,0.9064974931198823,28.620521448894728,399.7665791201576,0.05203545633617859
1616023637502,i0025_j0040,226,5866,2975,856,170.9279382797111,35.34077478660539,0.18220617202889033,0.15380827314510834,0.02839789888378201,0.9310628309440384,28.253278890347993,394.47980958634275,0.060078791858174656
1616023719148,i0025_j0050,249,5843,1821,803,171.77708470124753,35.28660538411031,0.1958305975049245,0.14724228496388705,0.048588312541037425,1.0466192614305314,27.398498030203545,400.3274786605384,0.05630334865397242
1616023801622,i0025_j0060,255,5837,1982,872,170.93154957321076,35.344057780696,0.22390019697964544,0.14954038082731452,0.07435981615233092,1.1686444396597069,27.173459728605824,397.9128365068943,0.05285620485883125
1616023884892,i0025_j0070,243,5849,3560,975,173.70091923834536,35.85472751149048,0.29678266579120155,0.17957977675640183,0.11720288903479974,1.4241475011090892,26.634486875840295,407.05400525279055,0.0479317137229153
