MiliSec,Iteration,#Alive,#Dead,#Steady,#Served,Avg#Steps,Avg#Steady,Avg#Stands_in_Focus,Avg#Stands_Visited,Avg#Queue_Deflected,Avg#Time_focused_in_Stand,Avg#Time_in_Stand,Avg#CloseContacts,Avg#DirectContacts
1616026743121,i0005_j0010,679,5413,27352,1349,340.5869993434012,71.03036769533814,0.25590938936309915,0.255252790544977,0.0006565988181221273,2.0561487092101003,54.62681932589188,638.6625082074852,0.07616546290216678
1616026898824,i0005_j0020,674,5418,24553,1548,339.4967170059094,67.09881812212738,0.2841431385423506,0.2834865397242285,0.0006565988181221273,2.296022496326174,51.05397789450646,632.4202232435981,0.07271831910702561
1616027064664,i0005_j0030,673,5419,32360,1380,340.5370978332239,73.63033486539724,0.2606697307944846,0.2596848325673014,0.000984898227183191,2.108056446180214,55.82072116436858,632.7856204858831,0.07386736703873933
1616027210191,i0005_j0040,649,5443,26303,1341,334.3558765594222,68.551050558109,0.25262639527248854,0.25131319763624427,0.0013131976362442547,2.13628353343964,53.91554497701904,624.5656598818122,0.07550886408404466
1616027351610,i0005_j0050,648,5444,26062,1510,335.46782665791204,72.28463558765594,0.28086014445174,0.2788903479973736,0.001969796454366382,2.286645249038552,55.51948730575617,630.6848325673013,0.07140512147078135
1616027495924,i0005_j0060,668,5424,28247,1429,336.5129678266579,73.12212738017071,0.27298095863427446,0.2683847669074196,0.004596191726854892,2.244025081032632,56.539817246662295,634.8944517399868,0.0782994090610637
1616027659140,i0005_j0070,662,5430,36628,1357,339.24392646093236,74.19550229809586,0.2603414313854235,0.25476034143138543,0.005581089954038083,2.289586655410688,55.75205187130664,643.4243269862114,0.0782994090610637
1616027837478,i0010_j0010,708,5384,33350,1513,357.28020354563364,87.49113591595535,0.2879185817465529,0.2839789888378201,0.003939592908732764,1.9608938474504707,64.74321514554606,696.6221273801707,0.0845370978332239
1616028030857,i0010_j0020,656,5436,23582,1548,354.73933026920554,85.61802363755746,0.29415627051871307,0.29054497701904136,0.0036112934996717005,2.0648347889273824,64.59700426789232,697.2332567301379,0.07797110965200263
1616028226887,i0010_j0030,695,5397,34296,1507,361.47980958634275,88.53447143795141,0.2890676296782666,0.2838148391332896,0.005252790544977019,2.0603687227086764,66.4724611512366,713.0541694024951,0.07206172028890348
1616028407798,i0010_j0040,667,5425,28464,1687,350.2616546290217,86.91743269862114,0.319763624425476,0.31270518713066314,0.007058437294812869,2.2138866267970023,63.87056717631241,683.2495075508864,0.08289560078791858
1616028591809,i0010_j0050,679,5413,30310,1535,353.8553841103086,88.11244254760341,0.29760341431385423,0.2895600787918582,0.00804333552199606,2.1364259932997616,67.0994719851171,700.5169074195667,0.07124097176625083
1616028780886,i0010_j0060,719,5373,35053,1606,362.25295469468153,90.62655942219304,0.3192711753118844,0.3025279054497702,0.01674326986211425,2.2529872495310515,67.42470179470345,725.4290873276428,0.07928430728824688
