MiliSec,Iteration,#Alive,#Dead,#Steady,#Served,Avg#Steps,Avg#Steady,Avg#Stands_in_Focus,Avg#Stands_Visited,Avg#Queue_Deflected,Avg#Time_focused_in_Stand,Avg#Time_in_Stand,Avg#CloseContacts,Avg#DirectContacts
1616005810582,i0005_j0010,684,5408,173181,1714,287.0124753775443,70.32649376231123,0.2974392646093237,0.2959619172685489,0.0014773473407747866,1.8806153174176816,31.15815276865835,631.1795797767564,0.0695994747209455
1616006028311,i0005_j0020,671,5421,166478,1479,279.17711753118846,71.90774786605384,0.26198292843072885,0.26116217990807616,0.0008207485226526593,1.6244978953161826,34.79320146640403,608.1886080105056,0.05991464215364412
1616006257033,i0005_j0030,678,5414,191338,1589,284.3048260013132,78.36703873933027,0.28003939592908733,0.27921864740643465,0.0008207485226526593,1.644589443350113,35.85938389144233,626.1149047931714,0.06533158240315168
1616006486396,i0005_j0040,677,5415,198159,1511,283.0290544977019,78.74113591595535,0.2675640183847669,0.26575837163493105,0.0018056467498358503,1.7739373201577733,35.058582293718544,615.3670387393303,0.0582731451083388
1616006732593,i0005_j0050,658,5434,240160,1562,287.97028890347997,86.86424819435325,0.27790544977019044,0.27593565331582404,0.001969796454366382,1.69563329216563,36.571661116843316,629.8703217334208,0.05318450426789232
1616006989489,i0005_j0060,668,5424,262876,1545,284.99868680236375,91.1973079448457,0.2798752462245568,0.27593565331582404,0.003939592908732764,1.7199653236710029,36.98957922959072,614.5517071569271,0.04415627051871306
1616007263092,i0005_j0070,684,5408,314429,1455,293.04973736047276,103.21864740643467,0.26887721602101117,0.26050558108995403,0.008371634931057125,1.7251950906210596,41.08720609386236,642.2296454366382,0.033650689428759026
1616007513677,i0010_j0010,716,5376,169057,1623,300.44615889691397,86.4451739986868,0.29251477347340776,0.2887393302692055,0.0037754432042022322,1.4262013688971895,43.9728633180127,696.6282009192383,0.06976362442547604
1616007738467,i0010_j0020,731,5361,182571,1610,300.0956992777413,88.1167104399212,0.29267892317793825,0.28775443204202233,0.004924491135915955,1.4098670284087094,43.83077806959948,694.8154957321077,0.06336178594878529
1616007969569,i0010_j0030,745,5347,201072,1699,305.61900853578464,92.55367695338148,0.3099146421536441,0.3026920551543007,0.007222586999343401,1.477463562859963,45.08405832786169,704.7265265922522,0.05778069599474721
1616008192324,i0010_j0040,702,5390,210894,1692,300.09537097833226,95.06172028890347,0.31057124097176625,0.3020354563361786,0.008535784635587657,1.4815566387176708,45.25136791420443,687.9740643466841,0.05663164806303349
1616008406733,i0010_j0050,709,5383,223399,1730,296.3292843072882,98.19320420223244,0.324688115561392,0.30843729481286936,0.016250820748522653,1.539176887668762,45.899720945502295,678.8808273145108,0.05416940249507551
1616008638708,i0010_j0060,698,5394,266291,1701,301.47980958634275,106.63214051214707,0.32846355876559424,0.3049901510177282,0.023473407747866055,1.5484163252301804,45.39303301754058,691.6751477347341,0.043827971109652
1616008890024,i0010_j0070,730,5362,316477,1433,305.71027577150363,117.64543663821405,0.3077806959947472,0.25705843729481287,0.05072225869993434,1.5543198056412102,50.51599052621705,708.4302363755745,0.03824688115561392
1616009129753,i0015_j0010,741,5351,173572,1796,302.96208141825343,89.38575180564675,0.3273145108338805,0.31713722915298753,0.010177281680892974,1.3554906118785561,43.34217670324859,700.8877216021011,0.07419566644780039
1616009359115,i0015_j0020,697,5395,163366,1672,300.0819107025607,90.56483913328957,0.3099146421536441,0.2985883125410374,0.011326329612606698,1.2862962681085572,47.999341837851354,705.5628693368352,0.05663164806303349
1616009582920,i0015_j0030,729,5363,191056,1711,304.9510833880499,95.5,0.319763624425476,0.30400525279054497,0.015758371634931056,1.3523381654357536,46.41424975768377,709.8102429415627,0.06565988181221274
